ID_match,ID,Seg_ID,Seg_ID_match
100,104,I2_2_240_5,I2_2_240_1
100,105,I2_2_90_1,I2_2_240_1
100,170,S4_2_240_2,I2_2_240_1
101,100,I2_2_240_1,I2_2_240_2
101,102,I2_2_240_3,I2_2_240_2
102,94,I1_2_240_1,I2_2_240_3
102,101,I2_2_240_2,I2_2_240_3
102,103,I2_2_240_4,I2_2_240_3
103,102,I2_2_240_3,I2_2_240_4
103,104,I2_2_240_5,I2_2_240_4
104,100,I2_2_240_1,I2_2_240_5
104,103,I2_2_240_4,I2_2_240_5
104,170,S4_2_240_2,I2_2_240_5
105,100,I2_2_240_1,I2_2_90_1
105,106,I2_2_90_2,I2_2_90_1
106,26,175700_2_90_1,I2_2_90_2
106,105,I2_2_90_1,I2_2_90_2
106,115,I3_2_90_1,I2_2_90_2
106,167,S2_2_90_1,I2_2_90_2
107,108,I3_2_170_2,I3_2_170_1
107,110,I3_2_170_4,I3_2_170_1
108,107,I3_2_170_1,I3_2_170_2
108,109,I3_2_170_3,I3_2_170_2
109,108,I3_2_170_2,I3_2_170_3
109,110,I3_2_170_4,I3_2_170_3
110,19,136800_2_170_1,I3_2_170_4
110,20,170023_2_170_1,I3_2_170_4
110,21,170044_2_170_1,I3_2_170_4
110,89,I1_2_170_1,I3_2_170_4
110,107,I3_2_170_1,I3_2_170_4
110,109,I3_2_170_3,I3_2_170_4
110,113,I3_2_290_3,I3_2_170_4
110,150,NA_174_2_170_1,I3_2_170_4
111,22,174500_2_290_1,I3_2_290_1
111,23,174501_2_290_1,I3_2_290_1
111,24,174502_2_290_1,I3_2_290_1
111,25,174503_2_290_1,I3_2_290_1
111,112,I3_2_290_2,I3_2_290_1
111,114,I3_2_68_1,I3_2_290_1
112,111,I3_2_290_1,I3_2_290_2
112,113,I3_2_290_3,I3_2_290_2
112,114,I3_2_68_1,I3_2_290_2
112,115,I3_2_90_1,I3_2_290_2
113,110,I3_2_170_4,I3_2_290_3
113,112,I3_2_290_2,I3_2_290_3
114,111,I3_2_290_1,I3_2_68_1
114,112,I3_2_290_2,I3_2_68_1
115,26,175700_2_90_1,I3_2_90_1
115,27,175800_2_90_1,I3_2_90_1
115,28,175900_2_90_1,I3_2_90_1
115,106,I2_2_90_2,I3_2_90_1
115,112,I3_2_290_2,I3_2_90_1
116,12,134342_2_20_1,IA3_2_20_1
116,13,134345S1_2_20_1,IA3_2_20_1
116,17,134449_2_20_1,IA3_2_20_1
116,91,I1_2_20_1,IA3_2_20_1
116,92,I1_2_20_2,IA3_2_20_1
116,93,I1_2_20_3,IA3_2_20_1
116,164,S1_2_20_1,IA3_2_20_1
117,91,I1_2_20_1,NA_121_2_20_1
118,91,I1_2_20_1,NA_123_2_20_1
118,149,NA_155_2_20_1,NA_123_2_20_1
119,5,133800_2_20_1,NA_124_2_20_1
119,10,134305_2_20_1,NA_124_2_20_1
119,120,NA_125_2_20_1,NA_124_2_20_1
119,121,NA_126_2_20_1,NA_124_2_20_1
119,122,NA_127_2_20_1,NA_124_2_20_1
119,123,NA_128_2_20_1,NA_124_2_20_1
119,124,NA_129_2_20_1,NA_124_2_20_1
119,125,NA_130_2_20_1,NA_124_2_20_1
119,126,NA_131_2_20_1,NA_124_2_20_1
119,127,NA_132_2_20_1,NA_124_2_20_1
119,128,NA_133_2_20_1,NA_124_2_20_1
119,129,NA_134_2_20_1,NA_124_2_20_1
119,130,NA_135_2_20_1,NA_124_2_20_1
119,131,NA_136_2_20_1,NA_124_2_20_1
119,132,NA_137_2_20_1,NA_124_2_20_1
119,133,NA_138_2_20_1,NA_124_2_20_1
119,134,NA_140_2_20_1,NA_124_2_20_1
119,135,NA_141_2_20_1,NA_124_2_20_1
119,136,NA_142_2_20_1,NA_124_2_20_1
119,137,NA_143_2_20_1,NA_124_2_20_1
119,138,NA_144_2_20_1,NA_124_2_20_1
119,139,NA_145_2_20_1,NA_124_2_20_1
119,140,NA_146_2_20_1,NA_124_2_20_1
119,141,NA_147_2_20_1,NA_124_2_20_1
119,142,NA_148_2_20_1,NA_124_2_20_1
119,143,NA_149_2_20_1,NA_124_2_20_1
119,144,NA_150_2_20_1,NA_124_2_20_1
119,145,NA_151_2_20_1,NA_124_2_20_1
119,146,NA_152_2_20_1,NA_124_2_20_1
119,147,NA_153_2_20_1,NA_124_2_20_1
119,148,NA_154_2_20_1,NA_124_2_20_1
120,5,133800_2_20_1,NA_125_2_20_1
120,10,134305_2_20_1,NA_125_2_20_1
120,119,NA_124_2_20_1,NA_125_2_20_1
120,121,NA_126_2_20_1,NA_125_2_20_1
120,122,NA_127_2_20_1,NA_125_2_20_1
120,123,NA_128_2_20_1,NA_125_2_20_1
120,124,NA_129_2_20_1,NA_125_2_20_1
120,125,NA_130_2_20_1,NA_125_2_20_1
120,126,NA_131_2_20_1,NA_125_2_20_1
120,127,NA_132_2_20_1,NA_125_2_20_1
120,128,NA_133_2_20_1,NA_125_2_20_1
120,129,NA_134_2_20_1,NA_125_2_20_1
120,130,NA_135_2_20_1,NA_125_2_20_1
120,131,NA_136_2_20_1,NA_125_2_20_1
120,132,NA_137_2_20_1,NA_125_2_20_1
120,133,NA_138_2_20_1,NA_125_2_20_1
120,134,NA_140_2_20_1,NA_125_2_20_1
120,135,NA_141_2_20_1,NA_125_2_20_1
120,136,NA_142_2_20_1,NA_125_2_20_1
120,137,NA_143_2_20_1,NA_125_2_20_1
120,138,NA_144_2_20_1,NA_125_2_20_1
120,139,NA_145_2_20_1,NA_125_2_20_1
120,140,NA_146_2_20_1,NA_125_2_20_1
120,141,NA_147_2_20_1,NA_125_2_20_1
120,142,NA_148_2_20_1,NA_125_2_20_1
120,143,NA_149_2_20_1,NA_125_2_20_1
120,144,NA_150_2_20_1,NA_125_2_20_1
120,145,NA_151_2_20_1,NA_125_2_20_1
120,146,NA_152_2_20_1,NA_125_2_20_1
120,147,NA_153_2_20_1,NA_125_2_20_1
120,148,NA_154_2_20_1,NA_125_2_20_1
121,5,133800_2_20_1,NA_126_2_20_1
121,10,134305_2_20_1,NA_126_2_20_1
121,119,NA_124_2_20_1,NA_126_2_20_1
121,120,NA_125_2_20_1,NA_126_2_20_1
121,122,NA_127_2_20_1,NA_126_2_20_1
121,123,NA_128_2_20_1,NA_126_2_20_1
121,124,NA_129_2_20_1,NA_126_2_20_1
121,125,NA_130_2_20_1,NA_126_2_20_1
121,126,NA_131_2_20_1,NA_126_2_20_1
121,127,NA_132_2_20_1,NA_126_2_20_1
121,128,NA_133_2_20_1,NA_126_2_20_1
121,129,NA_134_2_20_1,NA_126_2_20_1
121,130,NA_135_2_20_1,NA_126_2_20_1
121,131,NA_136_2_20_1,NA_126_2_20_1
121,132,NA_137_2_20_1,NA_126_2_20_1
121,133,NA_138_2_20_1,NA_126_2_20_1
121,134,NA_140_2_20_1,NA_126_2_20_1
121,135,NA_141_2_20_1,NA_126_2_20_1
121,136,NA_142_2_20_1,NA_126_2_20_1
121,137,NA_143_2_20_1,NA_126_2_20_1
121,138,NA_144_2_20_1,NA_126_2_20_1
121,139,NA_145_2_20_1,NA_126_2_20_1
121,140,NA_146_2_20_1,NA_126_2_20_1
121,141,NA_147_2_20_1,NA_126_2_20_1
121,142,NA_148_2_20_1,NA_126_2_20_1
121,143,NA_149_2_20_1,NA_126_2_20_1
121,144,NA_150_2_20_1,NA_126_2_20_1
