"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"215","0151099_9_1_1","0151099",9,0,1,1,1600,TRUE,0.0565986265553951,215,TRUE
"216","016  01025 001051_17_31_1","016  01025 001051",17,0,0,0,1650,TRUE,0.1216160027517,216,TRUE
"217","016  01070A002490_17_31_1","016  01070A002490",17,0,0,0,1100,TRUE,0.088384392673651,217,FALSE
"218","016  04070C002490_17_31_1","016  04070C002490",17,0,0,0,175,TRUE,0.044520747654797,218,FALSE
"219","016  04145 001051_17_31_1","016  04145 001051",17,0,1,1,797,TRUE,0.250999990639015,219,FALSE
"220","016  04410G001051_17_31_1","016  04410G001051",17,0,1,1,2410,TRUE,0.253964687975715,220,TRUE
"221","016  20029 116310_17_31_1","016  20029 116310",17,0,0,0,3472,TRUE,0.0988484083788215,221,TRUE
"222","016  20347 000000_17_31_1","016  20347 000000",17,1,1,1,29201,TRUE,0.748019350636877,222,FALSE
"223","016  20356 000000_17_31_1","016  20356 000000",17,0,0,0,13585,TRUE,2.86564017490584,223,FALSE
"224","016  20358 000000_17_31_1","016  20358 000000",17,0,0,0,6460,TRUE,2.01446551640321,224,FALSE
"225","016  20362 000000_17_31_1","016  20362 000000",17,0,1,1,29146.9285714286,TRUE,7.62324927280727,225,FALSE
"226","016  20364 000000_17_31_1","016  20364 000000",17,0,1,1,24784.1,FALSE,12.0233986191397,226,FALSE
"227","016  20366 000000_17_31_1","016  20366 000000",17,0,1,1,21296.5,TRUE,1.48376678344281,227,FALSE
"228","016  20368 000000_17_31_1","016  20368 000000",17,0,1,1,33371.2,TRUE,7.13186586616929,228,FALSE
"229","016  20370 000000_17_31_1","016  20370 000000",17,1,1,1,22286.0263157895,FALSE,27.1719478467129,229,FALSE
"230","016  20373 111590_17_31_1","016  20373 111590",17,0,1,1,5777,TRUE,1.15205188856823,230,FALSE
"231","016  20375 000000_17_31_1","016  20375 000000",17,0,1,1,38024.25,TRUE,2.08260249099059,231,FALSE
"232","016  20378 000000_17_31_1","016  20378 000000",17,0,1,1,28466,TRUE,1.00591276100032,232,FALSE
"233","016  20379 000000_17_31_1","016  20379 000000",17,0,1,1,39616.375,FALSE,12.3207355125,233,FALSE
"234","016  20380 000000_17_31_1","016  20380 000000",17,1,1,1,20483,TRUE,1.6954607456314,234,FALSE
"235","016  20381 000000_17_31_1","016  20381 000000",17,1,1,1,12447.5,TRUE,0.860252789173426,235,FALSE
"236","016  20382 000000_17_31_1","016  20382 000000",17,1,1,1,35196.4615384615,TRUE,2.63325395098206,236,FALSE
"237","016  20383 000000_17_31_1","016  20383 000000",17,1,1,1,33502.5,TRUE,1.6694704929212,237,FALSE
"238","016  20384 000000_17_31_1","016  20384 000000",17,1,1,1,24600.4,TRUE,1.9854766166002,238,FALSE
"239","016  20385 000000_17_31_1","016  20385 000000",17,1,1,1,13025,TRUE,0.500993196349986,239,FALSE
"240","016  20386 000000_17_31_1","016  20386 000000",17,0,1,1,5233,TRUE,0.501376131607356,240,TRUE
"241","016  20387 000000_17_31_1","016  20387 000000",17,1,1,1,3781,TRUE,0.445571408794706,241,FALSE
"242","016  20388 000000_17_31_1","016  20388 000000",17,0,1,1,6742,TRUE,0.500626373069121,242,TRUE
"243","016  20389 000000_17_31_1","016  20389 000000",17,0,1,1,81403.6,TRUE,1.2630152034679,243,FALSE
"244","016  20391 000000_17_31_1","016  20391 000000",17,1,1,1,13686.5,TRUE,6.30523603401952,244,FALSE
"245","016  20392A000000_17_31_1","016  20392A000000",17,1,1,1,13287.5,TRUE,0.911183792247755,245,FALSE
"246","016  20393A000000_17_31_1","016  20393A000000",17,1,1,1,19853,TRUE,1.1384979060185,246,FALSE
"247","016  20395 000000_17_31_1","016  20395 000000",17,1,1,1,29531.1428571429,TRUE,5.95937291128818,247,FALSE
